words,co-occur
 ,"[('เป็น', 'ชุด', 'ประจำ', 'ชาติ', 'ที่', 'ชอบ', 'สุด', 'หลัง', 'จาก', 'ตุ๊กตุ๊กอ่ะ', 'ขอ', 'ให้', 'วัน', 'จริง', 'เดิน', 'แล้ว', 'สวย', 'ปัง', 'แบบ', 'จึ้ง', 'เลย'), ('ใช่', 'มะคุนบบบ', 'ๆ', 'ๆ', 'ๆ', 'สวย', 'จึ้ง', 'มาก', 'กกกก', 'คุณหนู', 'สุด', 'ๆ', 'ๆ', 'ถูกใจเนเน่', 'มาก', 'กก'), ('ชุด', 'ประจำ', 'ชาติ', 'ยัง', 'สวย', 'ขนาด', 'นี้', 'ชุด', 'ราตรี', 'จึ้ง', 'แน่นอนนนน'), ('รส', 'พีช', 'ของ', 'คอมเบ', 'คือ', 'จึ้ง', 'มาก', 'พส', 'ต้อง', 'ลอง'), ('พอ', 'ได้', 'ที่', 'ทา', 'ตา', 'มา', 'ใหม่', 'แล้ว', 'แบบ', 'รส', 'อยากทา', 'ทุก', 'วัน', 'ทุก', 'เวลา', 'คือ', 'มัน', 'วิ้ง', 'แบบ', 'จึ้ง', 'ไม่', 'ไหว', 'ชอบ', 'ต้อง', 'ขอบคุนชี', 'กีฟ', 'วิ่ง', 'ที่', 'พากุ', 'ไป', 'เสียตัง', 'คุ้มสุบ', 'ๆ', 'ๆ'), ('อร่อย', 'จึ้ง', 'เดะ', 'พรุ่ง', 'นี้', 'ลอง', 'มะนาว', 'กับ', 'ไม', 'โล', 'มั่ง'), ('แต่', 'สวย', 'จริง', 'สวย', 'จึ้ง', 'สวยตา', 'พร่า', 'งง', 'มาก', 'บน', 'โลก', 'นี้', 'มี', 'คน', 'สวย', 'ขนาด', 'นี้', 'เลย', 'เหรอ', 'พร้อม', 'ส่วน', 'สูง', 'อะนะ', 'กุเบลอ', 'แล้ว'), ('คุณ', 'คนรี', 'ล่า', 'คือ', 'จึ้งง', 'งงงง', 'สเต๊กชั้น', 'เลอออ'), ('เเม่', 'หมอ', 'ให้', 'คําเเนะนํา', 'ดี', 'มาก', 'ให้', 'กําลังใจ', 'ให้', 'ความ', 'คิด', 'เเง่', 'คิด', 'ใส่ใจ', 'ใน', 'คํา', 'ถาม', 'ที่', 'ถาม', 'เเม่', 'หมอใจ', 'ดี', 'ม้า', 'กกบ่อง', 'ตรง', 'ค่า', 'ครูเเล้วเเต่ศรัทธา', 'เลย', 'ไม่', 'จํา', 'กัด', 'คํา', 'ถาม', 'เวลา', 'สุด', 'จึ้ง', 'งง', 'รอ', 'ไม่', 'นาน', 'เลย'), ('มารีแอนน์', 'สวย', 'มาก', 'นะ', 'แบบ', 'ไอ้', 'เจี้ย', 'จึ้ง', 'มาก', 'มาก', 'ไม่', 'น่า', 'ผี', 'คนเหี้ย', 'เข้า', 'ร่าง', 'เลย'), ('สั่ง', 'มา', 'หลาย', 'ร้าน', 'มาก', 'ๆ', 'ๆ', 'เห็น', 'ร้าน', 'นี้', 'จัด', 'โปร', 'พอดี', 'ร้าน', 'สี', 'น้ำเงิน', 'อะ', 'ก็', 'เลย', 'สั่ง', 'ทำ', 'ทำ', 'วัน', 'ที่', 'ธันวา', 'ได้', 'ของ', 'มกรา', 'ก็', 'หวัง', 'มาก', 'อะ', 'ถ้างาน', 'ถึง', 'มือ', 'ต้อง', 'จึ้ง', 'ไม่', 'ก็', 'ค้อง', 'ใกล้เคียง', 'ใส่', 'เกา', 'ๆ', 'น่ารัก', 'แต่', 'พอ', 'กู', 'ได้', 'ของ', 'คือ', 'แบบ', 'ร้าน', 'มึง', 'ได้', 'แดกตัง', 'โง่', 'ๆ', 'ตัง', 'ความ', 'โลภ', 'ของ', 'กุครั้ง', 'เดียวพอ', 'ย้ำ', 'ว่า', 'หลาย', 'ร้าน', 'ที่', 'เรา', 'สั่ง', 'ไม่', 'เคย', 'เจอ', 'ที่', 'ไม่', 'ตรง', 'ปก', 'แบบ', 'นี้'), ('ไลฟ์', 'ไม่', 'มี', 'ลด', 'คือ', 'จึ้ง', 'มาก', 'นะ', 'คน', 'เอ็นดู', 'รัก', 'น้อง', 'ๆ', 'เยอะ', 'มาก', 'กก', 'โค้ช', ' หยิ่นวอร์'), ('ไว', 'มาก', 'กด', 'หนู', 'จึ้งง'), ('แบบ', 'สุด', 'จึ้ง', 'สุด', 'ปัง', 'นี่', 'ร้อง', 'ตาม', 'ทุก', 'เพลง', 'เพลง', 'ที่', 'ชอบ', 'ทั้งนั้น', 'เลย', 'แต่', 'ตัว', 'เอง', 'ไม่', 'ได้', 'ขอเพลง', 'เลย', 'สัก', 'เพลง', 'กักตุน', 'ความ', 'สุข', 'มาก', 'กกกกกก', 'เพราะ', 'ไม่', 'ได้', 'หวีด', 'เลย', 'ด้วย', 'ตั้งใจ', 'ดู', 'ตั้งใจ', 'ฟัง', 'เสพ', 'ความ', 'น่า', 'รัก', 'ความ', 'ไป', 'เรื่อย', 'แต่', 'มัน', 'ดี', 'มาก', 'เลย', 'ฮือ', 'วัน', 'คืน', 'เลย', 'ไหม', 'โค้ช'), ('ชอบ', 'ลุค', 'นี้', 'มาก', 'ๆ', 'ๆ', 'ลุค', 'แรก', 'เรา', 'เสีย', 'อาการ', 'หล่อ', 'แบดบอย', 'สุด', 'ๆ', 'ลุค', 'คือ', 'จึ้ง', 'ที่สุด', 'นาย', 'แบบ', 'รันเวย์', ' ลุค ', 'เท่', 'แต่', 'ก็รสว่า', 'น่า', 'รัก', 'ด้วยย'), ('เรา', 'ไม่', 'มี', 'ตัง', 'พรี', 'บั้ม', 'แล้ว', 'อะ', 'ถ้า', 'บั้ม', 'สวย', 'จึ้ง', 'มี', 'ลูก', 'เล่น', 'เหมือนแคนดี้', 'เรา', 'เหมา'), ('ไม่ว่า', 'กี่', 'ครั้ง', 'ที่', 'น้อง', 'แพท', 'ท่อง', 'ค่า', 'พาย', 'อิฉัน', 'ก็', 'จึ้ง', 'ทุก', 'ครั้ง', 'น้อง', 'เก่ง', 'มาก', 'แพทริค')]"
ที่,"[('สั่ง', 'มา', 'หลาย', 'ร้าน', 'มาก', 'ๆ', 'ๆ', 'เห็น', 'ร้าน', 'นี้', 'จัด', 'โปร', 'พอดี', ' ', 'ร้าน', 'สี', 'น้ำเงิน', 'อะ', ' ', 'ก็', 'เลย', 'สั่ง', 'ทำ', ' ', 'ทำ', 'วัน', 'ธันวา', ' ', 'ได้', 'ของ', ' ', ' ', 'มกรา', ' ', 'ก็', 'หวัง', 'มาก', 'อะ', 'ถ้างาน', 'ถึง', 'มือ', 'ต้อง', 'จึ้ง', 'ไม่', 'ก็', 'ค้อง', 'ใกล้เคียง', 'ใส่', 'เกา', 'ๆ', 'น่ารัก', ' ', 'แต่', 'พอ', 'กู', 'ได้', 'ของ', 'คือ', 'แบบ', 'ร้าน', 'มึง', 'ได้', 'แดกตัง', 'โง่', 'ๆ', 'ตัง', 'ความ', 'โลภ', 'ของ', 'กุครั้ง', 'เดียวพอ', ' ', 'ย้ำ', 'ว่า', 'หลาย', 'ร้าน', 'เรา', 'สั่ง', 'ไม่', 'เคย', 'เจอ', 'ไม่', 'ตรง', 'ปก', 'แบบ', 'นี้'), ('แบบ', 'สุด', 'จึ้ง', 'สุด', 'ปัง', ' ', 'นี่', 'ร้อง', 'ตาม', 'ทุก', 'เพลง', ' ', 'เพลง', 'ชอบ', 'ทั้งนั้น', 'เลย', ' ', 'แต่', 'ตัว', 'เอง', 'ไม่', 'ได้', 'ขอเพลง', 'เลย', 'สัก', 'เพลง', ' ', 'กักตุน', 'ความ', 'สุข', 'มาก', 'กกกกกก', ' ', 'เพราะ', 'ไม่', 'ได้', 'หวีด', 'เลย', 'ด้วย', ' ', 'ตั้งใจ', 'ดู', ' ', 'ตั้งใจ', 'ฟัง', ' ', 'เสพ', 'ความ', 'น่า', 'รัก', ' ', 'ความ', 'ไป', 'เรื่อย', ' ', 'แต่', 'มัน', 'ดี', 'มาก', 'เลย', 'ฮือ', ' ', 'วัน', 'คืน', 'เลย', 'ไหม', ' ', 'โค้ช'), ('เเม่', 'หมอ', 'ให้', 'คําเเนะนํา', 'ดี', 'มาก', ' ', 'ให้', 'กําลังใจ', ' ', 'ให้', 'ความ', 'คิด', 'เเง่', 'คิด', ' ', 'ใส่ใจ', 'ใน', 'คํา', 'ถาม', 'ถาม', ' ', 'เเม่', 'หมอใจ', 'ดี', 'ม้า', 'กกบ่อง', 'ตรง', ' ', 'ค่า', 'ครูเเล้วเเต่ศรัทธา', 'เลย', ' ', 'ไม่', 'จํา', 'กัด', 'คํา', 'ถาม', ' ', 'เวลา', ' ', 'สุด', 'จึ้ง', 'งง', ' ', 'รอ', 'ไม่', 'นาน', 'เลย'), ('พอ', 'ได้', 'ทา', 'ตา', 'มา', 'ใหม่', 'แล้ว', 'แบบ', 'รส', 'อยากทา', 'ทุก', 'วัน', 'ทุก', 'เวลา', ' ', 'คือ', 'มัน', 'วิ้ง', 'แบบ', 'จึ้ง', 'ไม่', 'ไหว', ' ', 'ชอบ', ' ', 'ต้อง', 'ขอบคุนชี', 'กีฟ', 'วิ่ง', 'พากุ', 'ไป', 'เสียตัง', ' ', 'คุ้มสุบ', 'ๆ', 'ๆ'), ('เป็น', 'ชุด', 'ประจำ', 'ชาติ', 'ชอบ', 'สุด', 'หลัง', 'จาก', 'ตุ๊กตุ๊กอ่ะ', ' ', 'ขอ', 'ให้', 'วัน', 'จริง', 'เดิน', 'แล้ว', 'สวย', 'ปัง', ' ', 'แบบ', 'จึ้ง', 'เลย'), ('ไม่ว่า', 'กี่', 'ครั้ง', 'น้อง', 'แพท', 'ท่อง', 'ค่า', 'พาย', ' ', 'อิฉัน', 'ก็', 'จึ้ง', 'ทุก', 'ครั้ง', ' ', 'น้อง', 'เก่ง', 'มาก', ' ', 'แพทริค')]"
เลย,"[('เป็น', 'ชุด', 'ประจำ', 'ชาติ', 'ที่', 'ชอบ', 'สุด', 'หลัง', 'จาก', 'ตุ๊กตุ๊กอ่ะ', ' ', 'ขอ', 'ให้', 'วัน', 'จริง', 'เดิน', 'แล้ว', 'สวย', 'ปัง', ' ', 'แบบ', 'จึ้ง'), ('แบบ', 'สุด', 'จึ้ง', 'สุด', 'ปัง', ' ', 'นี่', 'ร้อง', 'ตาม', 'ทุก', 'เพลง', ' ', 'เพลง', 'ที่', 'ชอบ', 'ทั้งนั้น', ' ', 'แต่', 'ตัว', 'เอง', 'ไม่', 'ได้', 'ขอเพลง', 'สัก', 'เพลง', ' ', 'กักตุน', 'ความ', 'สุข', 'มาก', 'กกกกกก', ' ', 'เพราะ', 'ไม่', 'ได้', 'หวีด', 'ด้วย', ' ', 'ตั้งใจ', 'ดู', ' ', 'ตั้งใจ', 'ฟัง', ' ', 'เสพ', 'ความ', 'น่า', 'รัก', ' ', 'ความ', 'ไป', 'เรื่อย', ' ', 'แต่', 'มัน', 'ดี', 'มาก', 'ฮือ', ' ', 'วัน', 'คืน', 'ไหม', ' ', 'โค้ช'), ('มารีแอนน์', 'สวย', 'มาก', 'นะ', ' ', 'แบบ', ' ', 'ไอ้', 'เจี้ย', ' ', 'จึ้ง', 'มาก', 'มาก', ' ', 'ไม่', 'น่า', 'ผี', 'คนเหี้ย', 'เข้า', 'ร่าง'), ('แต่', 'สวย', 'จริง', ' ', 'สวย', 'จึ้ง', ' ', 'สวยตา', 'พร่า', ' ', 'งง', 'มาก', ' ', 'บน', 'โลก', 'นี้', 'มี', 'คน', 'สวย', 'ขนาด', 'นี้', 'เหรอ', ' ', 'พร้อม', 'ส่วน', 'สูง', ' ', ' ', 'อะนะ', ' ', 'กุเบลอ', 'แล้ว'), ('สั่ง', 'มา', 'หลาย', 'ร้าน', 'มาก', 'ๆ', 'ๆ', 'เห็น', 'ร้าน', 'นี้', 'จัด', 'โปร', 'พอดี', ' ', 'ร้าน', 'สี', 'น้ำเงิน', 'อะ', ' ', 'ก็', 'สั่ง', 'ทำ', ' ', 'ทำ', 'วัน', 'ที่', 'ธันวา', ' ', 'ได้', 'ของ', ' ', ' ', 'มกรา', ' ', 'ก็', 'หวัง', 'มาก', 'อะ', 'ถ้างาน', 'ถึง', 'มือ', 'ต้อง', 'จึ้ง', 'ไม่', 'ก็', 'ค้อง', 'ใกล้เคียง', 'ใส่', 'เกา', 'ๆ', 'น่ารัก', ' ', 'แต่', 'พอ', 'กู', 'ได้', 'ของ', 'คือ', 'แบบ', 'ร้าน', 'มึง', 'ได้', 'แดกตัง', 'โง่', 'ๆ', 'ตัง', 'ความ', 'โลภ', 'ของ', 'กุครั้ง', 'เดียวพอ', ' ', 'ย้ำ', 'ว่า', 'หลาย', 'ร้าน', 'ที่', 'เรา', 'สั่ง', 'ไม่', 'เคย', 'เจอ', 'ที่', 'ไม่', 'ตรง', 'ปก', 'แบบ', 'นี้'), ('เเม่', 'หมอ', 'ให้', 'คําเเนะนํา', 'ดี', 'มาก', ' ', 'ให้', 'กําลังใจ', ' ', 'ให้', 'ความ', 'คิด', 'เเง่', 'คิด', ' ', 'ใส่ใจ', 'ใน', 'คํา', 'ถาม', 'ที่', 'ถาม', ' ', 'เเม่', 'หมอใจ', 'ดี', 'ม้า', 'กกบ่อง', 'ตรง', ' ', 'ค่า', 'ครูเเล้วเเต่ศรัทธา', ' ', 'ไม่', 'จํา', 'กัด', 'คํา', 'ถาม', ' ', 'เวลา', ' ', 'สุด', 'จึ้ง', 'งง', ' ', 'รอ', 'ไม่', 'นาน')]"
แต่,"[('ชอบ', ' ', ' ', 'ลุค', 'นี้', 'มาก', 'ๆ', 'ๆ', ' ', 'ลุค', 'แรก', 'เรา', 'เสีย', 'อาการ', ' ', 'หล่อ', 'แบดบอย', 'สุด', 'ๆ', ' ', 'ลุค', ' ', ' ', 'คือ', 'จึ้ง', ' ', 'ที่สุด', ' ', 'นาย', 'แบบ', 'รันเวย์', ' ลุค ', ' ', 'เท่', 'ก็รสว่า', 'น่า', 'รัก', 'ด้วยย'), ('แบบ', 'สุด', 'จึ้ง', 'สุด', 'ปัง', ' ', 'นี่', 'ร้อง', 'ตาม', 'ทุก', 'เพลง', ' ', 'เพลง', 'ที่', 'ชอบ', 'ทั้งนั้น', 'เลย', ' ', 'ตัว', 'เอง', 'ไม่', 'ได้', 'ขอเพลง', 'เลย', 'สัก', 'เพลง', ' ', 'กักตุน', 'ความ', 'สุข', 'มาก', 'กกกกกก', ' ', 'เพราะ', 'ไม่', 'ได้', 'หวีด', 'เลย', 'ด้วย', ' ', 'ตั้งใจ', 'ดู', ' ', 'ตั้งใจ', 'ฟัง', ' ', 'เสพ', 'ความ', 'น่า', 'รัก', ' ', 'ความ', 'ไป', 'เรื่อย', ' ', 'มัน', 'ดี', 'มาก', 'เลย', 'ฮือ', ' ', 'วัน', 'คืน', 'เลย', 'ไหม', ' ', 'โค้ช'), ('อยาก', 'แต่ง', 'แบบ', 'นี้', 'ไป', 'คอนเอน', 'ไฮเพน', 'มาก', 'ไม่', 'มี', 'ไซส์กู', 'แน่', 'ๆ', 'อยาก', 'จึ้ง', 'เดี๋ยว', 'เจย์', 'ไม่', 'เห็น', 'พี่', 'ใส่', 'คาด', 'ผม', 'เรนเดียร์', 'อีก', 'หนึ่ง', 'ให้', 'รู้', 'ว่า', 'เมน', 'ใคร'), ('สวย', 'จริง', ' ', 'สวย', 'จึ้ง', ' ', 'สวยตา', 'พร่า', ' ', 'งง', 'มาก', ' ', 'บน', 'โลก', 'นี้', 'มี', 'คน', 'สวย', 'ขนาด', 'นี้', 'เลย', 'เหรอ', ' ', 'พร้อม', 'ส่วน', 'สูง', ' ', ' ', 'อะนะ', ' ', 'กุเบลอ', 'แล้ว'), ('สั่ง', 'มา', 'หลาย', 'ร้าน', 'มาก', 'ๆ', 'ๆ', 'เห็น', 'ร้าน', 'นี้', 'จัด', 'โปร', 'พอดี', ' ', 'ร้าน', 'สี', 'น้ำเงิน', 'อะ', ' ', 'ก็', 'เลย', 'สั่ง', 'ทำ', ' ', 'ทำ', 'วัน', 'ที่', 'ธันวา', ' ', 'ได้', 'ของ', ' ', ' ', 'มกรา', ' ', 'ก็', 'หวัง', 'มาก', 'อะ', 'ถ้างาน', 'ถึง', 'มือ', 'ต้อง', 'จึ้ง', 'ไม่', 'ก็', 'ค้อง', 'ใกล้เคียง', 'ใส่', 'เกา', 'ๆ', 'น่ารัก', ' ', 'พอ', 'กู', 'ได้', 'ของ', 'คือ', 'แบบ', 'ร้าน', 'มึง', 'ได้', 'แดกตัง', 'โง่', 'ๆ', 'ตัง', 'ความ', 'โลภ', 'ของ', 'กุครั้ง', 'เดียวพอ', ' ', 'ย้ำ', 'ว่า', 'หลาย', 'ร้าน', 'ที่', 'เรา', 'สั่ง', 'ไม่', 'เคย', 'เจอ', 'ที่', 'ไม่', 'ตรง', 'ปก', 'แบบ', 'นี้')]"
